arm,window_sessions,indicators,mae,rmse,direction,rank_ic,rank_ic_p,buy_trades,buy_win,buy_pf,buy_net,buy_sharpe,verdict
production,63,27,1.2564,1.6327,0.557,0.1119,0.001,104,0.606,1.77,0.3421,1.24,BASELINE (short window)
production_rates,63,29,1.2577,1.6354,0.562,0.0917,0.006,105,0.629,1.93,0.387,3.1,REJECTED
production_jpy,63,30,1.2663,1.6424,0.5577,0.089,0.006,104,0.635,2.0,0.4011,2.79,REJECTED
production,250,27,1.2377,1.6415,0.5219,0.0334,0.05,526,0.504,1.15,0.4693,0.38,BASELINE (long window - the honest one)
production_no_cash,250,25,1.2373,1.6404,0.5208,0.0324,0.058,515,0.499,1.19,0.5939,0.94,INCONCLUSIVE (mae p=0.45)
production_lean,250,22,1.2324,1.6339,0.5219,0.0389,0.021,474,0.506,1.15,0.4284,1.49,"ADOPT AS SHADOW (mae -0.0053pp p=0.0004, direction unchanged)"
production_compact,250,10,1.2106,1.6103,0.5272,0.0416,0.012,328,0.497,1.03,0.0618,-0.72,SPLIT: mae -2.2% p=1e-11 but BUY net 0.428->0.062
production_shaped,250,27,1.2969,1.71,0.5063,0.0241,0.177,820,0.473,0.96,-0.225,-0.58,REAL PRODUCTION SHAPE (162 cols) - loses money
production_horizons,250,27,1.309,1.729,0.5058,0.0211,0.221,980,0.462,0.88,-0.8104,-1.02,REJECTED (mae +0.0121pp p=1e-07)
